name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Jung J.,0,0,53,106,148,204,398,219,470,429,490
Junqueira D.,372,473,167,0,0,0,0,0,0,0,0
Kachmazov A.,0,0,0,0,0,0,0,0,0,13,22
Kadhe A.,0,0,6,3,1,3,1,45,101,39,34
Kamke T.,724,582,563,663,564,185,501,222,234,196,246
Karatsev A.,0,1,26,154,224,254,221,43,136,140,637
Karlovic I.,670,867,556,647,1320,1485,1795,660,589,586,444
Karlovskiy E.,0,2,6,23,30,81,74,144,228,180,211
Kavcic B.,516,590,569,542,551,382,243,581,246,112,203
Kecmanovic M.,0,0,0,0,0,4,22,246,433,901,1308
Kendrick R.,486,215,79,0,0,0,0,0,0,0,0
Kern R.,4,8,104,84,67,35,57,86,27,0,0
Khachanov K.,0,0,0,83,116,379,863,1030,2835,1840,2245
Khaddari H.,8,2,10,66,2,2,1,0,0,0,0
Kicker N.,2,1,34,58,144,281,537,590,285,0,0
Kiefer N.,20,0,0,0,0,0,0,0,0,0,0
Kim K.,193,87,41,0,0,0,0,0,0,0,0
Kindlmann D.,208,44,41,0,0,0,0,0,0,0,0
King D.,130,0,107,1,0,0,0,0,0,0,0
King E.,3,15,4,48,54,104,132,242,131,115,89
King K.,0,0,2,68,113,170,17,240,159,134,151
King-Turner D.,0,0,0,0,0,0,0,0,0,0,0
Kirillov E.,147,130,145,0,0,0,0,0,0,0,0
Kirkin E.,0,0,0,0,0,0,0,3,43,60,83
Klaasen R.,148,196,0,0,0,0,0,0,0,0,0
Klahn B.,15,27,189,568,365,70,18,242,699,415,436
Klec I.,191,114,91,99,146,57,0,0,0,0,0
Klein B.,229,77,219,104,193,272,148,180,46,98,103
Klein L.,0,0,0,0,0,0,8,60,51,131,164
Klizan M.,346,486,1175,518,1094,980,1230,393,1048,373,432
Knittel B.,221,264,238,169,10,0,0,0,0,0,0
Knowle J.,0,0,12,0,0,0,0,0,0,0,0
Koellerer D.,166,0,0,0,0,0,0,0,0,0,0
Koepfer D.,0,0,0,0,0,1,70,162,360,592,921
Kohlschreiber P.,1215,960,1770,1525,1415,1185,1325,1440,1125,665,729
Kokkinakis T.,0,1,22,41,353,656,0,245,367,256,209
Kolar Z.,0,0,0,0,3,46,215,234,235,209,250
Kontinen H.,166,65,1,1,0,0,0,0,0,0,0
Kopriva V.,0,0,0,0,0,10,76,52,85,110,167
Korda S.,0,0,0,0,0,0,1,18,51,189,563
Korolev E.,390,157,227,130,62,1,1,0,0,0,0
Kosakowski D.,23,92,188,48,175,0,0,0,0,0,0
Kotov P.,0,0,0,0,0,4,13,79,100,186,202
Koubek S.,425,30,0,0,0,0,0,0,0,0,0
Kovalik J.,1,92,131,126,243,203,501,335,637,379,498
Kozlov S.,0,0,2,8,80,130,508,328,93,80,110
Krajicek A.,23,18,128,195,350,559,208,195,22,0,0
Krajinovic F.,230,2,89,210,558,574,223,1298,620,1148,1628
Kravchuk K.,373,269,181,285,235,429,660,186,114,114,120
Krawietz K.,15,131,108,95,56,100,164,50,249,35,35
Krstin P.,0,4,6,109,198,212,237,240,302,193,204
Krueger M.,0,1,20,76,124,217,244,266,214,304,337
Kubler J.,49,54,132,100,381,62,9,134,515,172,210
Kubot L.,695,828,675,686,302,83,15,0,0,0,0
Kudla D.,63,171,402,491,458,719,457,301,810,491,600
Kudryavtsev A.,336,322,173,170,464,321,286,41,0,0,0
Kuhn N.,0,0,0,0,0,1,23,215,186,232,219
Kukushkin M.,819,598,526,721,705,762,634,693,935,816,776
Kumantsov A.,113,95,154,8,0,0,0,0,0,0,0
Kunitsyn I.,551,692,339,58,0,0,0,0,0,0,0
Kutrovsky D.,42,58,26,74,125,152,0,0,0,0,0
Kuzmanov D.,4,11,53,80,99,171,94,108,210,80,166
Kuznetsov A.,188,301,213,397,279,130,109,0,0,0,0
Kuznetsov Al.,0,0,0,0,0,0,0,0,0,0,0
Kuznetsov An.,0,0,0,0,0,0,0,0,0,0,0
Kwiatkowski T.S.,1,0,0,0,10,2,38,62,174,196,283
Kwon S.W.,0,0,0,0,1,46,140,323,211,622,752
Kypson P.,0,0,0,0,0,1,7,29,22,14,32
Kyrgios N.,0,0,15,277,830,1260,2460,2010,1125,1395,1170
Laaksonen H.,3,40,155,191,151,279,452,488,309,548,485
Lacko L.,578,505,827,625,576,534,492,605,514,280,324
Lajola D.,0,29,36,0,0,0,0,0,0,0,0
Lajovic D.,83,261,333,483,711,678,627,687,985,1296,1785
Lama G.,0,14,23,149,217,201,216,96,34,16,26
Lamasine T.,1,15,14,47,208,253,250,151,110,221,204
Lammer M.,187,192,119,83,61,10,0,0,0,0,0
Langer N.,9,35,148,115,192,236,127,79,0,0,0
Lapentti G.,232,167,0,62,154,239,43,20,0,0,0
Lapentti N.,77,0,0,0,0,0,0,0,0,0,0
Lazarov A.,0,0,0,0,0,0,51,25,50,53,56
Lazov A.,2,3,66,47,120,95,97,98,78,1,1
Ledovskikh M.,110,131,74,15,100,29,12,0,0,0,0
Lee D.H.,7,1,0,0,2,1,4,0,0,0,0
Lemke J.,138,158,50,39,1,0,0,0,0,0,0
