Winner,Loser,Odds
Cecchinato M.,Garin C.,1.62:2.31
Munar J.,Fognini F.,2.05:1.77
Cuevas P.,Sousa J.,1.48:2.67
Ramos-Vinolas A.,Ferrer D.,2.12:1.73
Thiem D.,Marterer M.,1.18:4.87
Schwartzman D.,Bedene A.,1.43:2.83
Cecchinato M.,Carballes Baena R.,1.52:2.54
Pella G.,Munar J.,2.05:1.78
Thiem D.,Cuevas P.,1.29:3.62
Schwartzman D.,Ramos-Vinolas A.,1.26:3.89
Cecchinato M.,Pella G.,1.51:2.59
Schwartzman D.,Thiem D.,2.91:1.42
Cecchinato M.,Schwartzman D.,2.27:1.65
Tomic B.,Lacko L.,1.52:2.53
Lorenzi P.,Sandgren T.,4.26:1.22
Thompson J.,Rubin N.,1.67:2.2
Eubanks C.,Menendez-Maceiras A.,1.69:2.18
Opelka R.,Mannarino A.,1.62:2.3
Jung J.,Ramanathan R.,2.14:1.71
Garcia-Lopez G.,Popyrin A.,2.24:1.65
Harrison R.,Polansky P.,1.42:2.86
Schnur B.,Lin J.M.,1.06:9.64
Querrey S.,Harris L.,1.41:2.93
Istomin D.,Mcdonald M.,2.31:1.61
Albot R.,Karlovic I.,2.21:1.67
Lorenzi P.,Harrison R.,3.6:1.29
Thompson J.,Eubanks C.,1.47:2.69
Isner J.,Tomic B.,1.37:3.12
Schnur B.,Johnson S.,2.54:1.52
Garcia-Lopez G.,Millman J.,3.23:1.35
Opelka R.,Istomin D.,1.81:2.0
Querrey S.,Albot R.,1.33:3.32
Jung J.,Tiafoe F.,5.3:1.16
Schnur B.,Lorenzi P.,1.75:2.1
Querrey S.,Jung J.,1.17:5.09
Opelka R.,Garcia-Lopez G.,1.55:2.48
Isner J.,Thompson J.,1.3:3.52
Schnur B.,Querrey S.,4.29:1.22
Opelka R.,Isner J.,3.04:1.39
Opelka R.,Schnur B.,1.46:2.75
Seppi A.,Gojowczyk P.,1.64:2.26
Kukushkin M.,Haase R.,2.07:1.76
Wawrinka S.,Paire B.,1.5:2.6
Basilashvili N.,Chung H.,1.83:1.98
Gulbis E.,Copil M.,1.75:2.09
Raonic M.,Kohlschreiber P.,1.25:3.98
Verdasco F.,Ebden M.,1.33:3.34
Shapovalov D.,Skugor F.,1.17:5.09
Berdych T.,Simon G.,1.56:2.43
Monfils G.,Goffin D.,1.88:1.93
Nishikori K.,Herbert P.H.,1.34:3.3
Griekspoor T.,Khachanov K.,8.24:1.08
Fucsovics M.,Klizan M.,2.07:1.76
Medvedev D.,Chardy J.,1.25:3.96
Tsonga J.W.,Fabbiano T.,1.12:6.2
Dzumhur D.,Tsitsipas S.,4.98:1.18
Monfils G.,Seppi A.,1.43:2.85
Wawrinka S.,Raonic M.,2.67:1.48
Shapovalov D.,Berdych T.,2.36:1.59
Dzumhur D.,Kukushkin M.,2.01:1.81
Medvedev D.,Verdasco F.,1.32:3.39
Tsonga J.W.,Griekspoor T.,1.1:7.16
Nishikori K.,Gulbis E.,1.27:3.76
Fucsovics M.,Basilashvili N.,1.79:2.02
Monfils G.,Dzumhur D.,1.23:4.25
Medvedev D.,Tsonga J.W.,1.61:2.33
Wawrinka S.,Shapovalov D.,1.77:2.07
Nishikori K.,Fucsovics M.,1.2:4.58
Monfils G.,Medvedev D.,2.95:1.41
Wawrinka S.,Nishikori K.,2.48:1.55
Monfils G.,Wawrinka S.,2.39:1.59
Lacko L.,Watanuki Y.,3.13:1.36
Istomin D.,Lopez F.,1.71:2.13
Harris L.,King D.,1.63:2.29
Kyrgios N.,Millman J.,1.74:2.09
Albot R.,Karlovic I.,2.08:1.75
Garcia-Lopez G.,Donaldson J.,1.44:2.77
Mcdonald M.,Fritz T.,2.51:1.53
Johnson S.,Jung J.,1.24:4.08
Thompson J.,Granollers M.,1.58:2.38
Lorenzi P.,Smyczek T.,2.16:1.7
Seppi A.,Tomic B.,1.62:2.31
Isner J.,Polansky P.,1.13:6.15
Mannarino A.,Schnur B.,1.4:2.96
Opelka R.,Sandgren T.,2.38:1.58
Evans D.,Tiafoe F.,2.42:1.57
Del Potro J.M.,Nishioka Y.,1.32:3.37
Seppi A.,Thompson J.,1.57:2.4
Mannarino A.,Istomin D.,1.69:2.16
Evans D.,Harris L.,1.67:2.2
Isner J.,Lacko L.,1.12:6.47
Johnson S.,Lorenzi P.,1.35:3.19
Albot R.,Kyrgios N.,2.72:1.46
Mcdonald M.,Garcia-Lopez G.,1.51:2.57
Del Potro J.M.,Opelka R.,1.51:2.57
Evans D.,Seppi A.,2.01:1.81
Isner J.,Mannarino A.,1.24:4.1
Albot R.,Johnson S.,2.31:1.62
Mcdonald M.,Del Potro J.M.,3.39:1.32
Evans D.,Isner J.,2.9:1.42
Albot R.,Mcdonald M.,2.33:1.61
Albot R.,Evans D.,2.78:1.45
Hurkacz H.,Krajinovic F.,2.8:1.44
Simon G.,Hoang A.,1.32:3.41
Kukushkin M.,Kudla D.,1.48:2.67
Gojowczyk P.,Dzumhur D.,2.09:1.74
Stakhovsky S.,Lestienne C.,1.93:1.87
Paire B.,Bolelli S.,1.48:2.67
Verdasco F.,Gerasimov E.,1.33:3.33
Rublev A.,Tsonga J.W.,4.43:1.21
Berrettini M.,Chardy J.,1.9:1.91
Bachinger M.,Darcis S.,1.86:1.94
Barrere G.,Vesely J.,1.64:2.25
Humbert U.,Gulbis E.,1.91:1.9
Kukushkin M.,Shapovalov D.,2.84:1.43
Tsitsipas S.,Hurkacz H.,1.32:3.36
Simon G.,Gojowczyk P.,1.49:2.62
Rublev A.,Berrettini M.,2.09:1.75
Bachinger M.,Verdasco F.,3.33:1.33
Humbert U.,Coric B.,2.73:1.46
Goffin D.,Paire B.,1.5:2.59
Stakhovsky S.,Barrere G.,2.25:1.64
Kukushkin M.,Rublev A.,2.06:1.77
Humbert U.,Bachinger M.,1.44:2.79
Tsitsipas S.,Stakhovsky S.,1.16:5.25
Goffin D.,Simon G.,1.65:2.26
Kukushkin M.,Humbert U.,2.13:1.72
Tsitsipas S.,Goffin D.,1.86:1.95
Tsitsipas S.,Kukushkin M.,1.3:3.6
Norrie C.,Lajovic D.,2.48:1.54
Munar J.,Mayer L.,1.8:2.02
Sousa J.,Pella G.,1.95:1.86
Ruud C.,Berlocq C.,1.52:2.61
Dellien H.,Andreozzi G.,2.08:1.75
Delbonis F.,Jaziri M.,1.25:4.0
Ramos-Vinolas A.,Sonego L.,1.84:1.98
Carballes Baena R.,Jarry N.,2.1:1.74
Bedene A.,Cecchinato M.,2.32:1.61
Garin C.,Marterer M.,2.02:1.8
Monteiro T.,Sousa P.,1.38:3.03
Auger-Aliassime F.,Fognini F.,2.6:1.5
Londero J.I.,Ymer E.,1.4:2.97
Djere L.,Thiem D.,6.17:1.13
Cuevas P.,Schwartzman D.,1.79:2.04
Daniel T.,Seyboth Wild T.,1.5:2.6
Munar J.,Norrie C.,1.44:2.78
Dellien H.,Carballes Baena R.,2.62:1.49
Bedene A.,Monteiro T.,1.59:2.36
Auger-Aliassime F.,Garin C.,2.05:1.77
Ramos-Vinolas A.,Delbonis F.,2.45:1.55
Djere L.,Daniel T.,1.54:2.48
Ruud C.,Sousa J.,2.14:1.71
Cuevas P.,Londero J.I.,1.36:3.13
Bedene A.,Dellien H.,1.4:3.0
Djere L.,Ruud C.,1.72:2.13
Auger-Aliassime F.,Munar J.,2.17:1.7
Cuevas P.,Ramos-Vinolas A.,1.31:3.49
Djere L.,Bedene A.,1.71:2.15
Auger-Aliassime F.,Cuevas P.,2.24:1.66
Djere L.,Auger-Aliassime F.,2.14:1.72
Johnson S.,Lopez Villasenor G.,1.1:7.21
Gojowczyk P.,Gaio F.,1.27:3.77
Millman J.,Granollers M.,1.33:3.34
Wawrinka S.,Harrison R.,1.35:3.19
