name,followers_2019,followers_2021,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Hewitt L.,1000,1001,870,265,625,780,845,160,45,0,0,0,0
Hoang A.,1000,1001,0,0,0,4,34,39,82,156,390,478,550
Hocevar R.,1000,1001,200,167,196,190,67,58,60,19,0,0,0
Holmgren A.,1000,1001,0,0,0,0,0,0,2,3,0,7,7
Horansky F.,1000,1001,0,11,39,45,137,123,97,149,262,299,345
Hossam K.,1000,1001,1,0,5,127,17,27,16,2,0,0,0
Hrbaty D.,1000,1001,91,23,6,2,0,0,0,0,0,0,0
Huesler M.A.,1000,1001,0,0,0,0,2,0,11,46,89,148,444
Humbert U.,3582,56698,0,0,0,0,0,11,12,110,653,912,1646
Hurkacz H.,371,120900,0,0,0,0,3,49,115,220,636,1198,1518
Huta Galung J.,1000,1001,433,234,216,549,257,97,91,1,0,0,0
Idmbarek Y.,1000,1001,8,14,2,26,31,11,7,0,0,0,0
Ilhan M.,1000,1001,574,514,222,276,553,520,213,149,66,47,49
Ilkel C.,1000,1001,0,0,1,10,94,98,125,200,237,144,260
Im K.T.,1000,1001,66,66,3,0,0,0,0,0,0,0,0
Inglot D.,1000,1001,21,0,12,12,0,0,0,0,0,0,0
Isner J.,169332,196141,1850,1800,2215,2150,1890,2495,1850,2265,3155,1770,1850
Istomin D.,1000,1001,1031,685,897,965,850,781,492,809,622,288,348
Ito T.,1000,1001,286,474,655,334,576,487,333,361,363,362,342
Ivashka I.,2378,7451,0,0,0,24,31,129,321,227,622,422,674
Janowicz J.,1000,1001,334,222,1299,1615,915,795,180,484,0,0,68
Janvier M.,1000,1001,0,0,0,1,32,138,201,108,260,240,293
Jarry N.,68747,97182,0,0,1,19,220,118,144,541,1022,695,0
Jasika O.,1000,1001,0,0,4,9,55,159,124,185,18,0,0
Jaziri M.,37564,42437,130,485,491,312,676,566,814,580,1014,251,219
Jelenic P.,1000,1001,20,0,0,0,0,0,0,0,0,0,0
Jeong S.Y.,1000,1001,32,16,128,109,1,0,0,0,0,0,0
Johansson J.,1000,1001,10,49,0,32,0,0,0,0,0,0,0
Johnson S.,23164,22878,30,110,296,333,999,1240,1320,1055,1190,630,870
Jones G.,1000,1001,0,1,0,0,0,0,0,0,0,0,0
Jouan R.,1000,1001,174,209,110,99,0,5,99,13,0,0,0
Jubb P.,1000,1001,0,0,0,0,0,0,0,2,30,58,62
Junaid R.,1000,1001,103,6,7,0,0,0,0,0,0,0,0
Jung J.,1000,1001,0,0,53,106,148,204,398,219,470,429,490
Junqueira D.,1000,1001,372,473,167,0,0,0,0,0,0,0,0
Kachmazov A.,1000,1001,0,0,0,0,0,0,0,0,0,13,22
Kadhe A.,1000,1001,0,0,6,3,1,3,1,45,101,39,34
Kamke T.,1000,1001,724,582,563,663,564,185,501,222,234,196,246
Karatsev A.,1000,1001,0,1,26,154,224,254,221,43,136,140,637
Karlovic I.,28953,31977,670,867,556,647,1320,1485,1795,660,589,586,444
Karlovskiy E.,1000,1001,0,2,6,23,30,81,74,144,228,180,211
Kavcic B.,1000,1001,516,590,569,542,551,382,243,581,246,112,203
Kecmanovic M.,1000,1001,0,0,0,0,0,4,22,246,433,901,1308
