nome,mao_dominante,data_de_nascimento,local,altura
Marti J.,R,19920111,ESP,180
Duckworth J.,R,19920121,AUS,183
Krawietz K.,R,19920124,GER,190
Collarini A.,L,19920131,ARG,180
Fucsovics M.,R,19920208,HUN,188
Mina G.,R,19920209,FRA,185
Kosakowski D.,R,19920221,USA,180
Basilashvili N.,R,19920223,GEO,185
Quiroz R.,L,19920223,ECU,193
Wang C.,R,19920224,CHN,188
Krajinovic F.,R,19920227,SRB,185
Rios F.,R,19920304,CHI,180
Gaio F.,R,19920305,ITA,180
Coria F.,R,19920309,ARG,180
Olivo R.,R,19920315,ARG,180
King E.,L,19920325,USA,185
Greef A.,R,19920327,BEL,180
Laaksonen H.,R,19920331,SUI,185
King D.,R,19920426,BAR,188
Biryukov M.,R,19920428,RUS,180
Harrison R.,R,19920507,USA,183
Ouyang B.,L,19920519,CHN,180
Dzumhur D.,R,19920520,BIH,172
Lestienne C.,R,19920523,FRA,180
Velotti A.,R,19920524,ARG,180
Bhambri Y.,R,19920704,IND,183
Sarmiento R.,R,19920724,USA,180
Arguello F.,R,19920804,ARG,180
Uchiyama Y.,R,19920805,JPN,183
Arvidsson I.,R,19920806,SWE,180
Schwartzman D.,R,19920816,ARG,170
Kicker N.,R,19920816,ARG,180
Kudla D.,R,19920817,USA,180
Davydenko P.,U,19920902,RUS,180
Sock J.,R,19920924,USA,185
Cecchinato M.,R,19920930,ITA,185
Baluda V.,R,19920930,RUS,180
Tomic B.,R,19921021,AUS,193
Vatutin A.,R,19921027,RUS,180
Kovalik J.,R,19921104,SVK,183
Gerasimov E.,R,19921111,BLR,196
Mitchell B.,R,19921130,AUS,180
Caruso S.,R,19921215,ITA,185
Clezar G.,R,19921231,BRA,183
Bolt A.,L,19930105,AUS,180
Horansky F.,R,19930107,SVK,180
Lara R.,R,19930126,ESP,180
Daniel T.,R,19930127,JPN,191
Lamasine T.,R,19930305,FRA,180
Shyla Y.,R,19930305,BLR,180
Baena R.,R,19930323,ESP,183
Jeong S.,R,19930412,KOR,180
Loore J.,R,19930421,BEL,180
Lama G.,R,19930427,CHI,180
Batalla O.,R,19930430,ESP,180
Kubler J.,R,19930519,AUS,180
Dellien H.,R,19930616,BOL,180
Sakamoto P.,R,19930629,BRA,180
Pavic M.,L,19930704,CRO,193
Vesely J.,L,19930710,CZE,198
Otte O.,R,19930716,GER,180
Fratangelo B.,R,19930719,USA,180
Giron M.,R,19930724,USA,180
Kuzmanov D.,R,19930728,BUL,183
Whittington A.,R,19930811,AUS,180
Nam J.,R,19930815,KOR,180
